"LCSC Part Number","Manufacture Part Number","Manufacturer","Customer NO.","Package","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price"
"C161854","VJ0603Y104KXACW1BC","Vishay Intertech","","0603","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","20","20\20","$0.034000","$0.68"
"C2857982","0603F105M100NT","FH(Guangdong Fenghua Advanced Tech)","","0603","10V 1uF ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","50","50\50","$0.006300","$0.32"
"C2909630","CS1608X5R106M160NRB","Samwha Capacitor","","0603","16V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","20","20\20","$0.028600","$0.57"
"C72037","17-21SURC/S530-A3/TR8","Everlight Elec","","0805","20mA 61mcd 2V 632nm Colorless transparence 624nm~624nm -40℃~+85℃ Red 140° 60mW 0805 Light Emitting Diodes (LED) ROHS","YES","50","50\50","$0.018000","$0.90"
"C132563","10118194-0001LF","Amphenol ICC","","SMD","USB 2.0 1 5 Female Micro-B SMD USB Connectors ROHS","YES","5","1\1","$0.254100","$1.27"
"C475629","BC817","Shikues","","SOT-23","45V 300mW 500mA 40@500mA,1V 100MHz 700mV@500mA,50mA NPN +150℃@(Tj) SOT-23 Bipolar Transistors - BJT ROHS","YES","40","20\20","$0.020800","$0.83"
"C98220","RC0603FR-0710KL","YAGEO","","0603","±1% 100mW 75V ±100ppm/℃ -55℃~+155℃ 10kΩ 0603 Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.001400","$0.14"
"C23162","0603WAF4701T5E","UNI-ROYAL(Uniroyal Elec)","","0603","±1% 1/10W Thick Film Resistors 75V ±100ppm/℃ -55℃~+155℃ 4.7kΩ 0603 Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.001300","$0.13"
"C2907127","FRC0603J221 TS","FOJAN","","0603","±5% 100mW Thick Film Resistors 50V ±100ppm/℃ -55℃~+155℃ 220Ω 0603 Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000900","$0.09"
"C2907172","FRC0603J471 TS","FOJAN","","0603","±5% 100mW Thick Film Resistors 50V ±100ppm/℃ -55℃~+155℃ 470Ω 0603 Chip Resistor - Surface Mount ROHS","YES","100","100\100","$0.000900","$0.09"
"C180420","B3S-1000P","Omron Electronics","","6.6x6x4.3mm","6mm 4.3mm Round Button 50mA 6.6mm SPST 24V 6.6x6x4.3mm Tactile Switches ROHS","YES","3","1\1","$1.026100","$3.08"
"C498117","AMS1117-3.3","HGC(Huaguan Semicon)","","SOT-223","75dB@(120Hz) 800mA 10mA 1.3V@800mA -40℃~+125℃ Fixed 3.3V~3.3V Positive 0.003%Vout 1 12V Thermal Protection,Overcurrent Protection SOT-223 Linear Voltage Regulators (LDO) ROHS","YES","5","5\5","$0.110600","$0.55"
"C969151","CP2102N-A02-GQFN24R","SILICON LABS","","QFN-24_4x4x05P"," QFN-24_4x4x05P USB ICs ROHS","YES","2","1\1","$5.548700","$11.10"
"C82899","ESP32-WROOM-32","Espressif Systems","","WIFIwireless Module"," WIFIwireless Module WiFi Modules ROHS","YES","3","1\1","$6.134800","$18.40"
"C41851","0402B104K160NT","FH(Guangdong Fenghua Advanced Tech)","","0402","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","YES","100","100\100","$0.000800","$0.08"
